# Marks Data
# Format: ROLL|SEMESTER|COURSE|Q1|Q2|MID|FINAL|ASSIGN
2025-BSCPE-5|SEM1|PF|9|7|19|28|9
2025-BSCPE-5|SEM1|AICT|8|9|24|39|6
2025-BSCPE-5|SEM1|FQ|6|6|24|35|6
2025-BSCPE-5|SEM1|AP|7|7|21|39|7
2025-BSCPE-5|SEM2|OOPS|9|7|22|39|7
2025-BSCPE-5|SEM2|DLD|6|9|30|28|6
2025-BSCPE-5|SEM2|DBMS|10|6|19|32|7
2025-BSCPE-5|SEM2|ASP|9|9|25|31|9
2025-BSCPE-5|SEM2|CS|6|7|24|25|9
2025-BSCPE-5|SEM2|CALC2|8|9|22|38|10
2025-BSCPE-6|SEM1|CALC1|10|5|16|21|5
2025-BSCPE-6|SEM1|PF|3|3|20|13|4
2025-BSCPE-6|SEM1|AICT|10|5|11|28|4
2025-BSCPE-6|SEM1|FQ|5|4|29|14|9
2025-BSCPE-6|SEM1|AP|6|9|13|40|8
2025-BSCPE-6|SEM2|OOPS|6|3|29|14|7
2025-BSCPE-6|SEM2|DLD|8|7|16|33|9
2025-BSCPE-6|SEM2|DBMS|8|6|18|24|5
2025-BSCPE-6|SEM2|ASP|7|10|20|36|4
2025-BSCPE-6|SEM2|CS|3|10|29|30|4
2025-BSCPE-6|SEM2|CALC2|4|6|26|20|5
2025-BSCPE-7|SEM1|CALC1|8|4|17|23|6
2025-BSCPE-7|SEM1|PF|5|10|27|34|6
2025-BSCPE-7|SEM1|AICT|3|7|13|40|5
2025-BSCPE-7|SEM1|FQ|7|4|13|35|8
2025-BSCPE-7|SEM1|AP|5|7|19|31|5
2025-BSCPE-7|SEM2|OOPS|8|6|30|39|6
2025-BSCPE-7|SEM2|DLD|10|7|11|14|9
2025-BSCPE-7|SEM2|DBMS|9|7|11|12|6
2025-BSCPE-7|SEM2|ASP|5|7|15|35|7
2025-BSCPE-7|SEM2|CS|9|3|13|14|9
2025-BSCPE-7|SEM2|CALC2|5|3|21|30|8
2025-BSCPE-8|SEM1|CALC1|5|9|14|13|6
2025-BSCPE-8|SEM1|PF|8|3|21|18|9
2025-BSCPE-8|SEM1|AICT|6|4|21|36|8
2025-BSCPE-8|SEM1|FQ|9|5|17|39|5
2025-BSCPE-8|SEM1|AP|5|9|10|17|9
2025-BSCPE-8|SEM2|OOPS|8|9|17|20|5
2025-BSCPE-8|SEM2|DLD|4|9|11|39|7
2025-BSCPE-8|SEM2|DBMS|6|6|24|23|6
2025-BSCPE-8|SEM2|ASP|6|6|10|33|5
2025-BSCPE-8|SEM2|CS|9|8|18|39|4
2025-BSCPE-8|SEM2|CALC2|7|8|30|28|7
2025-BSCPE-9|SEM1|CALC1|8|3|13|40|6
2025-BSCPE-9|SEM1|PF|5|7|11|15|8
2025-BSCPE-9|SEM1|AICT|9|8|20|25|8
2025-BSCPE-9|SEM1|FQ|4|9|28|18|6
2025-BSCPE-9|SEM1|AP|3|9|10|28|10
2025-BSCPE-9|SEM2|OOPS|6|8|23|14|9
2025-BSCPE-9|SEM2|DLD|8|8|13|35|6
2025-BSCPE-9|SEM2|DBMS|7|9|20|24|9
2025-BSCPE-9|SEM2|ASP|7|5|16|25|9
2025-BSCPE-9|SEM2|CS|9|5|29|30|6
2025-BSCPE-9|SEM2|CALC2|9|3|19|21|5
2025-BSCPE-10|SEM1|CALC1|9|8|24|26|7
2025-BSCPE-10|SEM1|PF|6|10|15|33|4
2025-BSCPE-10|SEM1|AICT|7|8|12|38|10
2025-BSCPE-10|SEM1|FQ|6|7|17|37|5
2025-BSCPE-10|SEM1|AP|5|3|11|19|7
2025-BSCPE-10|SEM2|OOPS|4|10|23|40|9
2025-BSCPE-10|SEM2|DLD|6|9|25|24|5
2025-BSCPE-10|SEM2|DBMS|5|3|13|36|7
2025-BSCPE-10|SEM2|ASP|6|5|26|26|4
2025-BSCPE-10|SEM2|CS|6|4|24|16|10
2025-BSCPE-10|SEM2|CALC2|10|8|24|31|10
2025-BSCPE-11|SEM1|CALC1|9|10|15|35|10
2025-BSCPE-11|SEM1|PF|10|10|18|36|5
2025-BSCPE-11|SEM1|AICT|7|10|30|19|6
2025-BSCPE-11|SEM1|FQ|10|4|19|19|6
2025-BSCPE-11|SEM1|AP|8|8|27|14|5
2025-BSCPE-11|SEM2|OOPS|5|6|22|34|5
2025-BSCPE-11|SEM2|DLD|6|4|23|25|6
2025-BSCPE-11|SEM2|DBMS|10|9|11|18|10
2025-BSCPE-11|SEM2|ASP|9|9|28|34|4
2025-BSCPE-11|SEM2|CS|9|10|10|23|6
2025-BSCPE-11|SEM2|CALC2|9|9|27|35|9
2025-BSCPE-12|SEM1|CALC1|6|10|17|20|7
2025-BSCPE-12|SEM1|PF|10|3|22|22|9
2025-BSCPE-12|SEM1|AICT|9|5|24|16|8
2025-BSCPE-12|SEM1|FQ|3|9|28|30|9
2025-BSCPE-12|SEM1|AP|3|4|30|25|5
2025-BSCPE-12|SEM2|OOPS|10|5|11|20|7
2025-BSCPE-12|SEM2|DLD|8|6|24|22|6
2025-BSCPE-12|SEM2|DBMS|9|7|23|20|10
2025-BSCPE-12|SEM2|ASP|4|10|10|35|8
2025-BSCPE-12|SEM2|CS|3|8|17|32|4
2025-BSCPE-12|SEM2|CALC2|3|3|17|18|10
2025-BSCPE-13|SEM1|CALC1|6|10|20|32|7
2025-BSCPE-13|SEM1|PF|9|6|27|31|9
2025-BSCPE-13|SEM1|AICT|8|8|20|28|7
2025-BSCPE-13|SEM1|FQ|8|6|27|25|8
2025-BSCPE-13|SEM1|AP|10|9|24|31|6
2025-BSCPE-13|SEM2|OOPS|10|7|19|34|10
2025-BSCPE-13|SEM2|DLD|6|10|30|26|8
2025-BSCPE-13|SEM2|DBMS|10|9|28|36|6
2025-BSCPE-13|SEM2|ASP|10|8|18|38|9
2025-BSCPE-13|SEM2|CS|6|9|23|39|7
2025-BSCPE-13|SEM2|CALC2|9|7|29|33|10
2025-BSCPE-14|SEM1|CALC1|10|10|23|38|9
2025-BSCPE-14|SEM1|PF|7|8|17|38|4
2025-BSCPE-14|SEM1|AICT|7|10|17|36|7
2025-BSCPE-14|SEM1|FQ|9|8|10|27|10
2025-BSCPE-14|SEM1|AP|8|5|25|18|6
2025-BSCPE-14|SEM2|OOPS|7|8|18|40|8
2025-BSCPE-14|SEM2|DLD|7|3|26|18|4
2025-BSCPE-14|SEM2|DBMS|6|9|25|29|10
2025-BSCPE-14|SEM2|ASP|6|10|30|34|7
2025-BSCPE-14|SEM2|CS|10|3|12|21|5
2025-BSCPE-14|SEM2|CALC2|9|6|19|33|8
2025-BSCPE-15|SEM1|CALC1|8|10|27|28|6
2025-BSCPE-15|SEM1|PF|9|8|21|34|7
2025-BSCPE-15|SEM1|AICT|7|7|18|19|4
2025-BSCPE-15|SEM1|FQ|6|8|13|35|8
2025-BSCPE-15|SEM1|AP|5|6|16|35|7
2025-BSCPE-15|SEM2|OOPS|7|7|13|38|5
2025-BSCPE-15|SEM2|DLD|7|6|21|17|6
2025-BSCPE-15|SEM2|DBMS|3|5|18|13|4
2025-BSCPE-15|SEM2|ASP|7|5|30|39|10
2025-BSCPE-15|SEM2|CS|10|4|10|30|6
2025-BSCPE-15|SEM2|CALC2|10|10|24|22|5
2025-BSCPE-16|SEM1|CALC1|3|7|25|15|10
2025-BSCPE-16|SEM1|PF|4|9|25|14|8
2025-BSCPE-16|SEM1|AICT|3|5|14|37|8
2025-BSCPE-16|SEM1|FQ|7|4|17|15|8
2025-BSCPE-16|SEM1|AP|9|6|26|24|7
2025-BSCPE-16|SEM2|OOPS|10|7|28|25|6
2025-BSCPE-16|SEM2|DLD|3|4|16|32|5
2025-BSCPE-16|SEM2|DBMS|7|4|15|19|5
2025-BSCPE-16|SEM2|ASP|4|5|10|25|7
2025-BSCPE-16|SEM2|CS|10|7|11|19|6
2025-BSCPE-16|SEM2|CALC2|7|10|12|33|5
2025-BSCPE-18|SEM1|CALC1|8|8|13|39|5
2025-BSCPE-18|SEM1|PF|8|9|25|21|9
2025-BSCPE-18|SEM1|AICT|9|3|24|14|6
2025-BSCPE-18|SEM1|FQ|7|8|13|36|7
2025-BSCPE-18|SEM1|AP|3|10|23|13|5
2025-BSCPE-18|SEM2|OOPS|8|10|30|26|10
2025-BSCPE-18|SEM2|DLD|3|6|18|29|5
2025-BSCPE-18|SEM2|DBMS|7|10|25|15|4
2025-BSCPE-18|SEM2|ASP|6|5|19|29|4
2025-BSCPE-18|SEM2|CS|9|4|17|38|4
2025-BSCPE-18|SEM2|CALC2|10|4|30|38|5
2025-BSCPE-19|SEM1|CALC1|9|10|27|38|10
2025-BSCPE-19|SEM1|PF|9|9|28|37|8
2025-BSCPE-19|SEM1|AICT|9|10|26|37|8
2025-BSCPE-19|SEM1|FQ|10|10|30|35|8
2025-BSCPE-19|SEM1|AP|9|9|27|40|10
2025-BSCPE-19|SEM2|OOPS|9|8|27|39|9
2025-BSCPE-19|SEM2|DLD|10|10|30|37|8
2025-BSCPE-19|SEM2|DBMS|9|10|28|36|9
2025-BSCPE-19|SEM2|ASP|10|10|28|37|9
2025-BSCPE-19|SEM2|CS|8|10|26|38|9
2025-BSCPE-19|SEM2|CALC2|8|9|25|36|10
2025-BSCPE-20|SEM1|CALC1|9|9|24|29|9
2025-BSCPE-20|SEM1|PF|6|7|26|35|6
2025-BSCPE-20|SEM1|AICT|9|6|26|39|6
2025-BSCPE-20|SEM1|FQ|7|9|28|29|6
2025-BSCPE-20|SEM1|AP|9|8|23|37|6
2025-BSCPE-20|SEM2|OOPS|8|10|24|35|9
2025-BSCPE-20|SEM2|DLD|10|6|27|27|7
2025-BSCPE-20|SEM2|DBMS|8|7|29|27|9
2025-BSCPE-20|SEM2|ASP|6|6|25|30|8
2025-BSCPE-20|SEM2|CS|6|6|23|26|8
2025-BSCPE-20|SEM2|CALC2|8|8|24|29|7
2025-BSCPE-21|SEM1|CALC1|10|9|27|30|7
2025-BSCPE-21|SEM1|PF|7|6|27|37|10
2025-BSCPE-21|SEM1|AICT|7|9|27|29|7
2025-BSCPE-21|SEM1|FQ|9|8|25|33|6
2025-BSCPE-21|SEM1|AP|9|8|28|30|6
2025-BSCPE-21|SEM2|OOPS|9|8|27|34|9
2025-BSCPE-21|SEM2|DLD|8|9|22|31|9
2025-BSCPE-21|SEM2|DBMS|9|6|21|37|10
2025-BSCPE-21|SEM2|ASP|8|10|22|34|6
2025-BSCPE-21|SEM2|CS|9|8|18|26|10
2025-BSCPE-21|SEM2|CALC2|9|8|30|32|10
2025-BSCPE-22|SEM1|CALC1|8|6|30|18|8
2025-BSCPE-22|SEM1|PF|7|5|30|15|9
2025-BSCPE-22|SEM1|AICT|3|7|24|13|8
2025-BSCPE-22|SEM1|FQ|8|5|12|21|6
2025-BSCPE-22|SEM1|AP|9|5|16|16|10
2025-BSCPE-22|SEM2|OOPS|8|7|15|20|10
2025-BSCPE-22|SEM2|DLD|10|7|20|37|4
2025-BSCPE-22|SEM2|DBMS|10|4|14|36|5
2025-BSCPE-22|SEM2|ASP|9|8|12|37|7
2025-BSCPE-22|SEM2|CS|3|7|27|15|7
2025-BSCPE-22|SEM2|CALC2|8|7|28|24|10
2025-BSCPE-23|SEM1|CALC1|8|4|17|27|4
2025-BSCPE-23|SEM1|PF|8|6|30|14|9
2025-BSCPE-23|SEM1|AICT|10|7|30|25|4
2025-BSCPE-23|SEM1|FQ|5|3|11|21|7
2025-BSCPE-23|SEM1|AP|4|4|17|40|8
2025-BSCPE-23|SEM2|OOPS|5|9|24|23|9
2025-BSCPE-23|SEM2|DLD|9|5|23|32|4
2025-BSCPE-23|SEM2|DBMS|10|9|18|13|9
2025-BSCPE-23|SEM2|ASP|8|6|24|26|5
2025-BSCPE-23|SEM2|CS|8|4|21|29|9
2025-BSCPE-23|SEM2|CALC2|8|3|22|20|5
2025-BSCPE-24|SEM1|CALC1|4|10|12|33|5
2025-BSCPE-24|SEM1|PF|3|3|20|19|5
2025-BSCPE-24|SEM1|AICT|6|4|27|18|8
2025-BSCPE-24|SEM1|FQ|6|6|20|36|5
2025-BSCPE-24|SEM1|AP|3|7|14|16|8
2025-BSCPE-24|SEM2|OOPS|7|5|13|33|10
2025-BSCPE-24|SEM2|DLD|3|5|10|23|10
2025-BSCPE-24|SEM2|DBMS|6|8|10|17|6
2025-BSCPE-24|SEM2|ASP|3|5|23|28|4
2025-BSCPE-24|SEM2|CS|4|10|24|36|6
2025-BSCPE-24|SEM2|CALC2|4|10|26|19|8
2025-BSCPE-25|SEM1|CALC1|3|7|24|32|4
2025-BSCPE-25|SEM1|PF|3|10|22|25|9
2025-BSCPE-25|SEM1|AICT|4|10|24|14|4
2025-BSCPE-25|SEM1|FQ|8|5|12|16|6
2025-BSCPE-25|SEM1|AP|8|9|29|28|6
2025-BSCPE-25|SEM2|OOPS|10|9|13|37|9
2025-BSCPE-25|SEM2|DLD|4|6|23|26|5
2025-BSCPE-25|SEM2|DBMS|9|8|24|24|7
2025-BSCPE-25|SEM2|ASP|4|8|23|22|9
2025-BSCPE-25|SEM2|CS|7|8|14|33|7
2025-BSCPE-25|SEM2|CALC2|4|4|12|14|7
2025-BSCPE-26|SEM1|CALC1|4|8|14|29|4
2025-BSCPE-26|SEM1|PF|8|4|23|23|10
2025-BSCPE-26|SEM1|AICT|9|3|19|31|6
2025-BSCPE-26|SEM1|FQ|8|4|28|28|5
2025-BSCPE-26|SEM1|AP|5|10|17|39|4
2025-BSCPE-26|SEM2|OOPS|8|8|13|36|6
2025-BSCPE-26|SEM2|DLD|6|9|27|36|10
2025-BSCPE-26|SEM2|DBMS|3|7|10|17|6
2025-BSCPE-26|SEM2|ASP|7|8|21|12|5
2025-BSCPE-26|SEM2|CS|5|9|12|16|9
2025-BSCPE-26|SEM2|CALC2|3|4|26|18|7
2025-BSCPE-27|SEM1|CALC1|9|10|20|17|6
2025-BSCPE-27|SEM1|PF|7|8|28|31|4
2025-BSCPE-27|SEM1|AICT|3|5|15|36|8
2025-BSCPE-27|SEM1|FQ|3|4|18|26|9
2025-BSCPE-27|SEM1|AP|9|10|29|26|7
2025-BSCPE-27|SEM2|OOPS|7|6|26|15|6
2025-BSCPE-27|SEM2|DLD|9|4|19|33|9
2025-BSCPE-27|SEM2|DBMS|10|7|11|19|7
2025-BSCPE-27|SEM2|ASP|3|3|16|21|5
2025-BSCPE-27|SEM2|CS|5|7|19|22|4
2025-BSCPE-27|SEM2|CALC2|3|10|23|17|5
2025-BSCPE-28|SEM1|CALC1|9|6|26|29|10
2025-BSCPE-28|SEM1|PF|8|4|22|39|9
2025-BSCPE-28|SEM1|AICT|3|9|10|26|4
2025-BSCPE-28|SEM1|FQ|8|9|28|24|9
2025-BSCPE-28|SEM1|AP|9|7|13|24|4
2025-BSCPE-28|SEM2|OOPS|8|5|29|26|10
2025-BSCPE-28|SEM2|DLD|8|4|23|39|4
2025-BSCPE-28|SEM2|DBMS|6|9|28|24|8
2025-BSCPE-28|SEM2|ASP|4|9|19|35|6
2025-BSCPE-28|SEM2|CS|6|8|15|14|8
2025-BSCPE-28|SEM2|CALC2|4|6|21|23|9
2025-BSCPE-29|SEM1|CALC1|5|6|13|16|6
2025-BSCPE-29|SEM1|PF|6|5|29|16|10
2025-BSCPE-29|SEM1|AICT|4|5|30|27|7
2025-BSCPE-29|SEM1|FQ|10|8|30|22|5
2025-BSCPE-29|SEM1|AP|10|4|25|26|9
2025-BSCPE-29|SEM2|OOPS|7|7|28|13|6
2025-BSCPE-29|SEM2|DLD|4|7|24|26|4
2025-BSCPE-29|SEM2|DBMS|3|8|19|14|9
2025-BSCPE-29|SEM2|ASP|4|9|24|30|8
2025-BSCPE-29|SEM2|CS|3|10|28|32|5
2025-BSCPE-29|SEM2|CALC2|8|10|26|16|4
2025-BSCPE-30|SEM1|CALC1|10|4|20|34|4
2025-BSCPE-30|SEM1|PF|5|3|17|34|7
2025-BSCPE-30|SEM1|AICT|10|5|21|23|6
2025-BSCPE-30|SEM1|FQ|9|9|20|33|8
2025-BSCPE-30|SEM1|AP|3|8|12|22|4
2025-BSCPE-30|SEM2|OOPS|9|7|18|35|10
2025-BSCPE-30|SEM2|DLD|5|8|12|30|9
2025-BSCPE-30|SEM2|DBMS|5|8|19|32|9
2025-BSCPE-30|SEM2|ASP|9|5|29|34|4
2025-BSCPE-30|SEM2|CS|7|9|30|37|6
2025-BSCPE-30|SEM2|CALC2|5|4|30|33|7
2025-BSCPE-31|SEM1|CALC1|8|3|21|21|5
2025-BSCPE-31|SEM1|PF|6|8|25|18|5
2025-BSCPE-31|SEM1|AICT|5|5|12|21|10
2025-BSCPE-31|SEM1|FQ|4|3|20|40|10
2025-BSCPE-31|SEM1|AP|5|9|14|17|5
2025-BSCPE-31|SEM2|OOPS|5|10|11|25|6
2025-BSCPE-31|SEM2|DLD|6|10|29|21|10
2025-BSCPE-31|SEM2|DBMS|10|6|27|19|6
2025-BSCPE-31|SEM2|ASP|10|6|21|33|8
2025-BSCPE-31|SEM2|CS|10|10|19|36|7
2025-BSCPE-31|SEM2|CALC2|9|5|16|37|8
2025-BSCPE-32|SEM1|CALC1|5|7|11|32|7
2025-BSCPE-32|SEM1|PF|8|4|26|39|4
2025-BSCPE-32|SEM1|AICT|7|4|15|20|7
2025-BSCPE-32|SEM1|FQ|5|9|12|19|10
2025-BSCPE-32|SEM1|AP|10|8|10|25|4
2025-BSCPE-32|SEM2|OOPS|9|8|17|24|4
2025-BSCPE-32|SEM2|DLD|8|6|10|22|4
2025-BSCPE-32|SEM2|DBMS|8|5|14|13|6
2025-BSCPE-32|SEM2|ASP|10|5|25|26|8
2025-BSCPE-32|SEM2|CS|3|4|10|20|5
2025-BSCPE-32|SEM2|CALC2|5|9|13|36|6
2025-BSCPE-33|SEM1|CALC1|6|7|13|13|5
2025-BSCPE-33|SEM1|PF|9|10|12|15|10
2025-BSCPE-33|SEM1|AICT|10|3|30|28|8
2025-BSCPE-33|SEM1|FQ|6|5|19|25|4
2025-BSCPE-33|SEM1|AP|8|6|28|25|5
2025-BSCPE-33|SEM2|OOPS|4|8|12|28|8
2025-BSCPE-33|SEM2|DLD|3|9|25|13|9
2025-BSCPE-33|SEM2|DBMS|9|8|18|35|4
2025-BSCPE-33|SEM2|ASP|8|4|21|19|9
2025-BSCPE-33|SEM2|CS|4|8|14|13|6
2025-BSCPE-33|SEM2|CALC2|8|5|24|34|7
2025-BSCPE-34|SEM1|CALC1|5|5|12|34|10
2025-BSCPE-34|SEM1|PF|10|3|19|18|4
2025-BSCPE-34|SEM1|AICT|6|3|20|21|8
2025-BSCPE-34|SEM1|FQ|9|10|18|13|10
2025-BSCPE-34|SEM1|AP|6|7|21|39|10
2025-BSCPE-34|SEM2|OOPS|3|8|18|15|10
2025-BSCPE-34|SEM2|DLD|8|9|22|35|7
2025-BSCPE-34|SEM2|DBMS|9|8|15|27|9
2025-BSCPE-34|SEM2|ASP|10|8|26|20|10
2025-BSCPE-34|SEM2|CS|4|9|12|25|8
2025-BSCPE-34|SEM2|CALC2|5|7|20|15|4
2025-BSCPE-35|SEM1|CALC1|8|7|19|26|8
2025-BSCPE-35|SEM1|PF|9|5|24|23|7
2025-BSCPE-35|SEM1|AICT|3|8|29|25|6
2025-BSCPE-35|SEM1|FQ|3|4|30|24|6
2025-BSCPE-35|SEM1|AP|5|3|14|39|8
2025-BSCPE-35|SEM2|OOPS|10|3|14|14|5
2025-BSCPE-35|SEM2|DLD|8|8|22|30|4
2025-BSCPE-35|SEM2|DBMS|5|10|21|23|7
2025-BSCPE-35|SEM2|ASP|4|5|26|23|7
2025-BSCPE-35|SEM2|CS|8|7|17|15|4
2025-BSCPE-35|SEM2|CALC2|5|10|26|24|8
2025-BSCPE-36|SEM1|CALC1|4|7|18|34|7
2025-BSCPE-36|SEM1|PF|6|7|25|18|4
2025-BSCPE-36|SEM1|AICT|5|4|24|17|9
2025-BSCPE-36|SEM1|FQ|10|4|20|33|6
2025-BSCPE-36|SEM1|AP|4|7|19|39|5
2025-BSCPE-36|SEM2|OOPS|5|8|26|19|4
2025-BSCPE-36|SEM2|DLD|6|5|17|37|7
2025-BSCPE-36|SEM2|DBMS|3|8|27|30|6
2025-BSCPE-36|SEM2|ASP|10|5|29|40|4
2025-BSCPE-36|SEM2|CS|4|7|22|34|9
2025-BSCPE-36|SEM2|CALC2|10|9|23|38|8
2025-BSCPE-37|SEM1|CALC1|4|5|20|32|4
2025-BSCPE-37|SEM1|PF|10|10|26|23|5
2025-BSCPE-37|SEM1|AICT|5|5|23|28|10
2025-BSCPE-37|SEM1|FQ|3|4|26|16|6
2025-BSCPE-37|SEM1|AP|5|5|20|34|5
2025-BSCPE-37|SEM2|OOPS|8|7|12|20|5
2025-BSCPE-37|SEM2|DLD|7|5|30|21|8
2025-BSCPE-37|SEM2|DBMS|4|5|28|30|5
2025-BSCPE-37|SEM2|ASP|5|8|28|13|10
2025-BSCPE-37|SEM2|CS|3|4|11|32|10
2025-BSCPE-37|SEM2|CALC2|7|6|28|25|8
2025-BSCPE-38|SEM1|CALC1|3|10|30|29|6
2025-BSCPE-38|SEM1|PF|7|10|17|37|10
2025-BSCPE-38|SEM1|AICT|9|7|24|14|9
2025-BSCPE-38|SEM1|FQ|3|5|24|25|7
2025-BSCPE-38|SEM1|AP|10|6|20|31|5
2025-BSCPE-38|SEM2|OOPS|8|8|21|24|5
2025-BSCPE-38|SEM2|DLD|8|4|20|19|7
2025-BSCPE-38|SEM2|DBMS|4|7|24|19|5
2025-BSCPE-38|SEM2|ASP|4|3|19|24|10
2025-BSCPE-38|SEM2|CS|9|6|15|38|6
2025-BSCPE-38|SEM2|CALC2|8|6|15|27|8
2025-BSCPE-39|SEM1|CALC1|10|10|19|27|4
2025-BSCPE-39|SEM1|PF|4|9|26|26|5
2025-BSCPE-39|SEM1|AICT|6|8|11|13|6
2025-BSCPE-39|SEM1|FQ|10|10|19|29|4
2025-BSCPE-39|SEM1|AP|4|9|14|40|6
2025-BSCPE-39|SEM2|OOPS|8|9|21|13|7
2025-BSCPE-39|SEM2|DLD|3|6|21|29|6
2025-BSCPE-39|SEM2|DBMS|4|9|26|26|10
2025-BSCPE-39|SEM2|ASP|7|4|14|15|7
2025-BSCPE-39|SEM2|CS|8|8|27|23|10
2025-BSCPE-39|SEM2|CALC2|5|6|29|28|7
2025-BSCPE-40|SEM1|CALC1|3|3|11|16|9
2025-BSCPE-40|SEM1|PF|8|10|26|26|5
2025-BSCPE-40|SEM1|AICT|5|8|29|22|5
2025-BSCPE-40|SEM1|FQ|9|7|28|22|8
2025-BSCPE-40|SEM1|AP|10|7|25|38|4
2025-BSCPE-40|SEM2|OOPS|8|8|13|25|8
2025-BSCPE-40|SEM2|DLD|7|3|29|27|6
2025-BSCPE-40|SEM2|DBMS|6|3|28|27|5
2025-BSCPE-40|SEM2|ASP|9|5|17|13|8
2025-BSCPE-40|SEM2|CS|4|6|10|26|6
2025-BSCPE-40|SEM2|CALC2|9|5|23|34|5
